Method,Name,Error,Occurrences
POST,[Account] Create Savings Account,HTTPError('502 Server Error: Bad Gateway for url: [Account] Create Savings Account'),4
POST,[Account] Create Checking Account,HTTPError('500 Server Error: INTERNAL SERVER ERROR for url: [Account] Create Checking Account'),11
POST,[Account] Get All Accounts,HTTPError('502 Server Error: Bad Gateway for url: [Account] Get All Accounts'),4
POST,[Account] Create Checking Account,HTTPError('502 Server Error: Bad Gateway for url: [Account] Create Checking Account'),7
POST,[Transaction] Internal Transfer,HTTPError('502 Server Error: Bad Gateway for url: [Transaction] Internal Transfer'),4
POST,[Account] View All Accounts,HTTPError('500 Server Error: INTERNAL SERVER ERROR for url: [Account] View All Accounts'),15
POST,[Account] Create Savings Account,HTTPError('500 Server Error: INTERNAL SERVER ERROR for url: [Account] Create Savings Account'),16
GET,[Account] View Account Details,HTTPError('502 Server Error: Bad Gateway for url: [Account] View Account Details'),8
POST,[Account] Get All Accounts,HTTPError('500 Server Error: INTERNAL SERVER ERROR for url: [Account] Get All Accounts'),20
POST,[Account] View All Accounts,HTTPError('502 Server Error: Bad Gateway for url: [Account] View All Accounts'),4
POST,[Transaction] View History,HTTPError('502 Server Error: Bad Gateway for url: [Transaction] View History'),6
